Year,Location,State,Dead,Injured,Total,Race,Gender,Mental Health,Description,Latitude,Longitude,Party
2018,"Trenton, New Jersey",New Jersey,1,22,23,Unknown,Male,Unclear,Art All Night shooting: Multiple gunmen wounded 17 people at the Art All Night festival. Five others were wounded when they were trampled by people around them. One of the suspected gunmen was shot and killed by police. Police suspect the shooting was gang-related.,40.2170575,-74.7429463,Democratic
2018,"Scottsdale, Arizona",Arizona,7,0,7,White American,Male,Yes,"2018 Scottsdale spree shootings: Over the course of several days, a man killed a forensic psychiatrist, two paralegals, a counselor, and a couple from whom he took a handgun. The suspect killed himself when police began closing in on him.",33.5091215,-111.8992365,Republican
2018,"Santa Fe, Texas",Texas,10,14,24,Unknown,Male,Unclear,"Santa Fe High School shooting: A student at Santa Fe High School shot and killed ten people and wounded fourteen others. Explosive devises were also found, but they were not detonated. The suspect was taken into custody by police.",29.3780129,-95.1057625,Republican
2018,"Nashville, Tennessee",Tennessee,4,2,6,White American,Male,Yes,"Nashville Waffle House shooting: A gunman entered a Waffle House, where he killed four people and injured two others. He was later taken into custody.",36.1622296,-86.7743531,Republican
2018,"Yountville, California",California,5,0,5,Asian American,Male,Unclear,"Yountville shooting: A man entered the Veterans Home of California and held three staff members hostage. He killed the three staff members (and the unborn child of one of the staff members, who was pregnant) before killing himself in a murder–suicide.",38.395445,-122.3601726,Democratic
2018,"Parkland, Florida",Florida,17,17,34,Unknown,Male,Yes,"Stoneman Douglas High School shooting: A former student of Marjory Stoneman Douglas High Schoolentered the school, killed seventeen people, and wounded seventeen others. He was taken into custody by police.",26.3100794,-80.23727,Republican
2018,"Benton, Kentucky",Kentucky,2,16,18,White American,Male,Unclear,Marshall County High School shooting: A fifteen-year-old student killed two other students and injured sixteen others before discarding his weapon and attempting to hide among other students. He was apprehended by police.,36.8572781,-88.350315,Republican
2017,"Highlands Ranch, Colorado",Colorado,2,6,8,White American,Male,Yes,"Copper Canyon Apartment Homes shooting: After being called to a home for a report of a disturbance, five police officers were shot in an ""ambush-style"" attack. One officer was killed and the other four were wounded. Two other people were also wounded in a neighboring apartment. Officers later re-entered the apartment with a SWAT team and killed the suspect; another officer was injured in this exchange.[37]",39.5538771,-104.9694264,Democratic
2017,"Aztec, New Mexico",New Mexico,3,0,3,White American,Male,Yes,Aztec High School shooting: A man walked into Aztec High School disguised as a student and killed two before killing himself.,36.8220629,-107.9928992,Democratic
2017,"Tehama County, California",California,6,12,18,White American,Male,Yes,"Rancho Tehama Reserve shootings: A man killed his wife and hid her body under the floorboards of their home before killing two neighbors, firing at random at people, and then ramming his truck through the gates of an elementary school and firing at those inside. He then drove away and targeted other random victims before being rammed by police and shooting himself. He killed five people and injured twelve others (some with bullet wounds, others were injured by flying glass) before committing suicide.[38]",40.1251334,-122.2015529,Democratic
2017,"Sutherland Springs, Texas",Texas,27,20,47,White American,Male,Yes,"Sutherland Springs church shooting: A gunman approached the First Baptist Church in Sutherland Springs and killed two people outside before entering and shooting at the congregation, killing 26 people (including an unborn child) and injuring twenty. He was confronted by a local man with a gun, and they exchanged gunfire before entering a vehicle. The man flagged down another person and they began a high-speed chase of the gunman, which ended when the gunman went off the road and was found dead either from a self-inflicted gunshot wound or from one of the two bullets fired by the local man.[39][40]",29.273321,-98.0570115,Republican
2017,"Las Vegas, Nevada",Nevada,59,422,481,White American,Male,Unclear,"2017 Las Vegas shooting: A man in a high floor of a hotel opened fire on a country music festival happening outside, killing 59 people and injuring 851 others, with 422 of them suffering from gunshot wounds. The man then shot himself.[41][42]",36.1662859,-115.149225,Democratic
2017,"Antioch, Tennessee",Tennessee,1,8,9,Black or African American,Male,Unclear,"Burnette Chapel shooting: A man killed a woman outside the Burnette Chapel Church of Christ before entering the chapel and wounding seven others. During a struggle with an usher, the man shot himself in the chest. The usher ran to his car to get his own pistol and held the man at gunpoint until police arrived to arrest him.[43]",35.756467,-84.2179718,Republican
2017,"Plano, Texas",Texas,9,1,10,White American,Male,No,"2017 Plano shooting: A man entered his ex-wife's home while she was hosting a football-watching party and killed her and seven others, and wounded one other. He was killed by police.[44]",33.0136764,-96.6925096,Republican
2017,"Clovis, New Mexico",New Mexico,2,4,6,White American,Male,Yes,Clovis library shooting: A sixteen-year-old killed two people and wounded four others at a public library before surrendering to police.[45],34.405472,-103.2050709,Democratic
2017,"Little Rock, Arkansas",Arkansas,0,28,28,Unknown,Unknown,Unclear,Little Rock nightclub shooting: 28 people were injured (25 directly injured by gunfire) when shooting broke out in a nightclub where rapper Finese 2Tymes was performing.[46],34.7464809,-92.2895948,Republican
2017,"San Francisco, California",California,4,5,9,Asian American,Male,Unclear,"San Francisco UPS shooting: A gunman entered his workplace and singled out coworkers, killing three and wounding five, before committing suicide.[47]",37.7792808,-122.4192363,Democratic
2017,"Alexandria, Virginia",Virginia,1,6,7,White American,Male,No,"2017 Congressional baseball shooting: A gunman shot and wounded four people, including Republican Congressman and House Majority Whip Steve Scalise, while they were practicing for the Congressional Baseball Game. Two others were also injured in other ways. The gunman was killed after being engaged by Capitol police officers assigned to protect Scalise and by police officers responding to the scene.[48]",38.8147596,-77.09024765,Republican
2017,"Eaton Township, Pennsylvania",Pennsylvania,4,0,4,White American,Male,Yes,Eaton Township Weis Markets shooting: An employee of a Weis Markets supermarket who was working a night shift barricaded the exits and killed three coworkers before killing himself.[49],42.1461835,-79.7678582,Republican
2017,"Sandy, Utah",Utah,3,2,5,Unknown,Male,Unclear,"Sandy, Utah attack: A man rammed a vehicle containing his ex-girlfriend, killing two and wounding two more, before committing suicide.[50]",40.5664878,-111.838904,Republican
2017,"Orlando, Florida",Florida,6,0,6,White American,Male,Yes,Orlando factory shooting: A former employee entered the factory through a rear exit and killed five employees and then himself.[51],28.5421097,-81.3790388,Republican
2017,"Lincoln County, Mississippi",Mississippi,8,1,9,Black or African American,Male,No,"2017 Mississippi shootings: A man killed eight people, including several family members and a sheriff's deputy, at three separate houses. He was injured by police and then arrested. The shooter later said he had intended to commit suicide by cop.[52]",31.4885409,-90.4480916,Republican
2017,"Fresno, California",California,4,0,4,Black or African American,Male,Yes,"2017 Fresno shootings: A man killed a security guard at a hotel, then killed three other people five days later. The attacks, committed against white people by a black suspect, are believed to be racially motivated and the suspect believed there was a race war taking place between white and black people. He was taken into custody by police.[53]",36.7295295,-119.7088613,Democratic
2017,"San Bernardino, California",California,3,1,4,Black or African American,Male,No,"North Park Elementary School shooting: A man entered an elementary school, telling school administrators he needed to drop something off for his wife. He entered the classroom where she was teaching and killed her, also killing a student and wounding another who were standing nearby. He then killed himself.[54]",34.1083449,-117.2897652,Democratic
2017,"Cincinnati, Ohio",Ohio,2,16,18,Unknown,Unknown,Unclear,Cincinnati nightclub shooting: Two men were killed and sixteen people were wounded after a fight escalated into a shooting at a crowded nightclub. One person was arrested.[55],39.1014537,-84.5124602,Republican
2017,"Schofield, Wisconsin and Rothschild, Wisconsin",Wisconsin,5,0,5,Asian American,Male,No,"2017 Schofield/Rothschild shootings: A man demanded his wife sign divorce papers and after a confrontation, returned to her place of work and shot and killed four people before being killed by the police.[56]",44.8972857,-89.61591708,Republican
2017,"Broward County, Florida",Florida,5,6,11,Latin American,Male,Yes,"Fort Lauderdale airport shooting: A man killed five people and injured six in a shooting at Fort Lauderdale–Hollywood International Airport before running out of ammunition and laying on the ground to surrender to police. 30–40 other people were also hurt, with injuries not directly caused by gunfire.[57]",26.1598074,-80.4623642,Republican
2016,"Burlington, WA",Washington,5,0,5,Unknown,Male,Yes,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macy‚ department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence.",48.47699,-122.324791,Democratic
2016,"Baton Rouge, LA",Louisiana,3,3,6,Black or African American,Male,Yes,"Gavin Long, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.",30.451468,-91.187149,Republican
2016,"Dallas, Texas",Texas,5,11,16,Black or African American,Male,Unclear,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.",32.776665,-96.796989,Republican
2016,"Orlando, Florida",Florida,49,53,102,Unknown,Male,Unclear,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.",28.538336,-81.379234,Republican
2016,"Ferguson, Missouri",Missouri,0,4,4,Unknown,Male,Unclear,A group of 15 to 20 people was gathered for a memorial for a family member when two cars drove by and opened fire. Four people were injured. No suspects or specific motive or targets.,38.744217,-90.305391,Republican
2016,Maryland,Maryland,1,4,5,Unknown,Male,Unclear,"Shooter shot from his car at people standing on the street at 1:30 AM. Police don't believe the woman who died was the target, and do not believe the shooting was random.",38.845113,-76.874972,Democratic
2016,Virginia,Virginia,0,6,6,Black or African American,Male,Unclear,"Male shooter fired into crown when a deputy police tried, unsuccessfully to stop him. The deputy fired on the shooter and inured him.",36.765971,-78.928344,Republican
2016,Maryland,Maryland,0,4,4,Black or African American,Male,Unclear,Shooter was angry over fact that rival families had been slashing each other's cars. Shooter fired into a block party and injured four.,39.290385,-76.612189,Democratic
2016,Illinois,Illinois,1,4,5,Unknown,Male,Unclear,Group of young men were in a park at 2 in the morning when a male walked up and shot them. One fatality. Four injuries. Shooter is unknown.,41.878114,-87.629798,Democratic
2016,Texas,Texas,4,0,4,White American,Male,Unclear,Man killed his wife and two young children before committing suicide. No explanation has been offered,29.785785,-95.824396,Republican
2016,Alabama,Alabama,1,4,4,White American,Male,Yes,"Shooter fired from his car at two different locations along a highway in rural Alabama. He didn't injure any at the first shootout, but injured four at the second. He was killed by police.",34.16204,-86.475543,Republican
2016,California,California,0,3,4,Unknown,Male,Unclear,"Group of men were standing at a street corner when someone came up and fired upon them. One man died, 3 injured. Nothing is known about the shooter.",33.77005,-118.19374,Democratic
2016,New Mexico,New Mexico,0,4,4,White American,Male,Unclear,A Man shot four uninvited party guests who would not leave the party hosted by the shooter. He started firing when they broke windows and started kicking in the door.,35.085334,-106.60555,Republican
2016,Tennessee,Tennessee,0,4,4,Unknown,Male,Unclear,Four people were shot below the waist at a gas station after an altercation broke out at a gas station.,35.149534,-90.04898,Republican
2016,Illinois,Illinois,0,5,5,Unknown,Male,Unclear,Birthday party bus was dropping off party goers in South Shore Chicago when someone on the street started shooting at them. The bus driver drove off quickly protecting the targets. Unknown motivation. No suspects.,41.878114,-87.629798,Democratic
2016,New Mexico,New Mexico,3,1,3,Asian American,Male,Unclear,The shooter killed two of his nephews at the restaurant they owned. He shot and injured his brother. Then killed himself.,35.085334,-106.60555,Republican
2016,"Richmond, Virginia",Virginia,2,2,3,Black or African American,Male,Unclear,"A man fatally shot a Virginia state trooper at a Greyhound bus station before the gunman was killed by other troopers. The trooper had been participating with about a dozen other troopers in a training exercise at the bus station when a brief encounter with the gunman quickly turned violent. The shooter had been sitting in the restaurant at the bus station and went to his luggage near the front entrance. He began to walk away from his bags. The trooper approached the suspect. Shortly after the two talked for a few seconds, with the suspect to the trooperÔøΩs immediate right, the shooter pulled a gun from his waistband and shot the trooper from just inches away.",37.540725,-77.436048,Republican
2016,"Louisburg, North Carolina",North Carolina,3,0,3,Black or African American,Male,Unclear,"Three people were killed in a shooting at a home. The shooter was on probation after being released from prison about two weeks ago. He was required to wear an ankle bracelet that monitored his whereabouts, but removed the device on Friday ÔøΩ the day before the shootings.",36.099039,-78.301106,Republican
2016,"Lawrenceburg, Tennessee",Tennessee,2,2,3,Unknown,Male,Unclear,The man was suspected of shooting his wife and two sons on Friday morning at the familyÔøΩs home. All three victims were initially shot inside the residence with a shotgun.,35.242302,-87.334739,Republican
2016,Alabama,Alabama,2,2,3,White American,Male,Yes,"Husband murders his wife and injures his two sons at their home in rural Alabama, then commits suicide",34.759257,-86.602493,Republican
2016,"Sherman, Texas",Texas,4,0,3,Unknown,Male,Unclear,"A man shot and killed his wife and two boys, then he turned the gun on himself.",33.635662,-96.60888,Republican
2016,Texas,Texas,4,0,3,White American,Male,Unclear,"Husband murders his wife and two young children in Sherman, TX, then commits suicide",33.635662,-96.60888,Republican
2016,"Louisville, Kentucky",Kentucky,4,0,3,White American,Male,Unclear,A former soldier who fatally shot his wife and two children and set their house on fire before killing himself suffered from post-traumatic stress disorder following a military career that included a stint in Iraq.,38.252665,-85.758456,Republican
2016,"Louisville, Kentucky",Kentucky,4,0,3,White American,Male,Yes,Husband murders his wife and two children before committing suicide at their Kentucky home,38.252665,-85.758456,Republican
2016,"Plantation, Florida",Florida,1,4,5,Unknown,Unknown,Unclear,A Spring Break party in a house packed with 400 people ended in gunfire that killed one man and wounded four others.,26.127586,-80.233104,Republican
2016,Alabama,Alabama,2,2,4,Black or African American,Male,Unclear,"Shooter fired 12 rounds from a semi-automatic handgun that left two dead and two critically injured in a Saturday afternoon drive-by in Wetumpka, Alabama.",32.543745,-86.211913,Republican
2016,Florida,Florida,1,4,5,Unknown,Male,Unclear,"Shooter fired into crowd at a spring break house party with over 400 people, killing one, and injuring four. No one provided any information about the shooter, who escaped.",26.127586,-80.233104,Republican
2016,Georgia,Georgia,0,4,4,Unknown,Male,Unclear,Two groups of people were asked to leave a nightclub when they started arguing. They were outside the club when they started shooting. Five people were injured.,33.748995,-84.387982,Republican
2016,Florida,Florida,0,4,4,Unknown,Male,Unclear,"Family was celebrating a birthday party when a group of 12 arrived. Fight broke out, four people shot.",26.640628,-81.872308,Republican
2016,Georgia,Georgia,2,2,3,Unknown,Male,Unclear,"Domestic dispute led a man to shoot his girlfriend, kill her daughter, and injure a bystander who was trying to help the girlfriend",34.111223,-82.867084,Republican
2016,New Jersey,New Jersey,0,5,5,Unknown,Male,Unclear,"A group of women were arguing on a sidewalk outside of an apartment complex in Trenton, NJ when a black Acura pulled up. Two men got out. And one shot at the women, injuring five.",40.217053,-74.742938,Democratic
2016,Michigan,Michigan,2,2,4,Unknown,Male,Unclear,Four men were sitting on a porch when a black SUV with three passengers drove by and opened fire in broad daylight. Two of the men died and two were injured. The SUV got away and there are no suspects,42.331427,-83.045754,Republican
2016,"Pittsburgh, Pennsylvania",Pennsylvania,6,3,9,Unknown,Male,Unclear,"Two gunmen working as a team fatally shot five people including a pregnant woman and critically wounded two others at a backyard cookout, with one attacker using a high-velocity rifle to shoot all the victims in the head as they were driven his direction. Authorities later ruled the death of the womanÔøΩs 8-month-old fetus a homicide and raised the number of fatalities to six.",40.440625,-79.995886,Republican
2016,"Pittsburgh, Pennsylvania",Pennsylvania,5,3,8,Unknown,Male,Unclear,"A family was having a cookout in the backyard of a house when two gunmen came and started shooting. There is one suspected target, but 5 people were killed, including one pregnant woman. The two gunmen fled the scene and have not been identified.",40.441736,-79.881994,Republican
2016,"Kansas City, Kansas",Kansas,5,0,5,Unknown,Male,Unclear,"Four people were found dead Monday night in a home in Kansas City, Kansas. A fifth man was shot to death Tuesday in Missouri. The shooter lives in a house next door to the home where four people were found shot Monday night. The shooter and the neighbors are all familiar with each other.",39.114053,-94.627464,Republican
2016,Louisiana,Louisiana,0,4,4,Unknown,Male,Unclear,"Four people shot with non-life-threatening injuries during a drive-by on MLK boulevard in Lafayette, LA. There were multiple shooters in the Ford f-150 truck, truck fled the scene. No leads.",30.22409,-92.019843,Republican
2016,"Kansas City, Kansas",Kansas,4,0,4,Unknown,Male,Unclear,"Shooter killed four people at his next door neighbors house. He fled the scene, but was captured the next day, hiding in a ditch. It is seen as a random act.",39.114053,-94.627464,Republican
2016,"Chelsea, Massachusetts",Massachusetts,1,6,7,Unknown,Male,Unclear,"The shooting happened early Sunday morning during a party in a vacant apartment. The shooter pened fire with one gun at a party of about 50 people in an vacant, three-room apartment. A 19-year-old Chelsea resident was was killed in a shooting that wounded five other teens and a 22-year-old.",42.391764,-71.032828,Democratic
2016,"Chelsea, Massachusetts",Massachusetts,1,6,7,Unknown,Male,Unclear,"Shooter fired upon party of ~50 people at an empty apartment in Chelsea, MA. 1 dead. 6 wounded. Shooters step brother was among those shot",42.391764,-71.032828,Democratic
2016,Georgia,Georgia,0,4,4,Black or African American,Male,Unclear,"Altercation in a hookah bar led a group of seven people to leave in a mini-van. They were followed. When the car stopped, the shooter fired upon the car. Four of the seven sustained non-life-threatening injuries.",34.023243,-84.361556,Republican
2016,"Kansas City, Kansas",Kansas,0,4,4,Unknown,Male,Unclear,Altercation led to group of people getting kicked out of a club. Shooting took place around 1am outside the club. Four injured.,37.687176,-97.330053,Republican
2016,Michigan,Michigan,0,5,5,Black or African American,Male,Unclear,"Man apparently inappropriately touched a stripper. He was asked to leave. He waited outside, then shot the stripper and four other people.",42.331427,-83.045754,Republican
2016,California,California,1,3,4,Unknown,Male,Unclear,Shooter fired upon group of people in a restaurant parking lot,33.997197,-117.48548,Democratic
2016,"Woodbridge, Virginia",Virginia,2,2,4,Black or African American,Male,Unclear,"On Saturday of February 27th, three officers arrived to investigate a domestic dispute call, the shooter fired a rifle from the front door of his home, striking all three. Inside the house, police found his wife dead in a bedroom.",38.6697,-77.3524,Republican
2016,"Belfair, Washington",Washington,5,0,4,White American,Male,Unclear,"At around 9am on Friday morning, a man phoned an officer with the Mason County Sheriff's Office to say that he had shot his family and was going to kill himself next. The man was flushed out of his house when the SWAT team fired tear gas inside. He walked outside and shot himself in front of the officers who were gathered in front of the property. The shooter killed his wife, her two teenage sons and a neighbor.",47.5033,-122.931,Democratic
2016,"Hesston, Kansas",Kansas,3,14,17,Black or African American,Male,Unclear,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.",38.1395,-97.426949,Republican
2016,"Hesston, Kansas",Kansas,4,14,17,Black or African American,Male,Unclear,"On Friday, 90 minutes after receiving a court order over domestic violence, the man returned to the factory for the shooting spree.The man who wounded three people before storming into the central Kansas the lawn mower factory where he worked and shooting 14 others, killing three of them, had just been served a protection from abuse order that likely triggered the attack. Police say they believe the man fired at random while he was returning to his workplace.",38.1368,-97.4268,Republican
2016,Washington,Washington,5,0,4,White American,Male,Unclear,"Man killed wife, two kids, and neighbor before calling the cops to tell them he did something bad. They fired tear gas to get him outside. He came out and shot himself in the head.",47.451459,-122.82695,Democratic
2016,"Glendale, Arizona",Arizona,5,0,4,Two or more races,Male,Yes,"Five family members are dead after the son opened fire at their house on Tuesday morning. The shooter killed his father, his mother, his 18-year-old sister, and his 6-year-old sister. Police fatally shot the shooter after a confrontation inside the home.",33.5927,-112.163,Republican
2016,Arizona,Arizona,5,0,4,White American,Male,Unclear,Son shot his parents and two sisters in their Phoenix home. Police arrive because the house was on fire. Police shot and killed the shooter.,33.448377,-112.07404,Republican
2016,Missouri,Missouri,1,3,4,Black or African American,Male,Unclear,"Car was fired upon from a stolen Mercedes on the interstate in Hazelwood, MO. One woman died. 3 Injured.",38.77144,-90.370949,Republican
2016,Texas,Texas,0,5,5,Unknown,Male,Unclear,"Group of people was fired upon by an unknown number of people in a dark SUV and a white Ford Truck. Five people, including a baby, were injured.",29.760427,-95.369803,Republican
2016,"Kalamazoo County, Michigan",Michigan,6,2,8,White American,Male,Unclear,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.",42.28978,-85.584679,Republican
2016,"Iuka, Mississippi",Mississippi,2,3,4,White American,Male,Unclear,"Law enforcement officers in northeastern Mississippi stormed a house Saturday after an hours-long standoff with a gunman holed up inside, leading to a shootout that left one officer dead and three others wounded.The standoff started Friday afternoon when authorities responded to a domestic dispute call at the home near Iuka. But the man, holed up in his home with his wife and 10-year-old daughter, refused to come out, sparking the standoff with officers outside. The man suspected of firing on the officers was also killed.",34.7404,-88.1383,Republican
2016,"Kalamazoo, Michigan",Michigan,6,2,8,White American,Male,Unclear,"On Saturday evening of February 20, 2016, the gunman shot eight people in three different parts of the county. For nearly five hours Saturday, the shooter drove from one target to another, gunning down victims at random. And in between the shootings, he apparently picked up passengers for Uber.",42.2354,-85.676,Republican
2016,Florida,Florida,1,3,4,Unknown,Male,Unclear,"Argument led to gun shots in the parking lot outside of a hookah bar in Tampa, Florida",27.950575,-82.457178,Republican
2016,Michigan,Michigan,6,2,8,White American,Male,No,An Uber driver fired upon people in three locations over the course of about 6 hours.,42.291707,-85.587229,Republican
2016,California,California,2,2,4,Unknown,Unknown,Unclear,"Two suspects shot at a car and killed one person outright, and the second victim died in the hospital. Two others injured. No leads on suspects.",38.104086,-122.25664,Democratic
2016,Michigan,Michigan,0,3,3,Black or African American,Male,Unclear,"Shooter was a part of a fight outside of a high school gym. He fired at a crowd, injuring three. He fled the scene and was confronted by a police officer. When he wouldn't drop his weapon, the police officer shot and injured him.",43.201126,-86.238946,Republican
2016,"Orlando, Florida",Florida,2,10,12,Unknown,Male,Unclear,Two people were killed and several others were hurt in a mass shooting inside an Orlando nightclub early Sunday morning.,28.4541,-81.4646,Republican
2016,New York,New York,1,7,8,Unknown,Unknown,Unclear,"Two groups of people fired at each other after a fight broke out outside of the Mexican Village Nightclub in Rochester, NY",43.16103,-77.610922,Democratic
2016,Florida,Florida,2,6,8,Unknown,Unknown,Unclear,"Fighting broke out in a strip club when an unknown shooter starting firing. One person died on the scene, and one died later. Six were injured.",27.950575,-82.457178,Republican
2016,California,California,1,3,4,Unknown,Unknown,Unclear,"Police were called to a street to investigate an assault case. One hispanic man lay dead on the street. Two other adult males, and a young female were injured.",34.052234,-118.24369,Democratic
2016,Texas,Texas,4,0,3,White American,Male,Unclear,19-year-old male kills his mother and two neighbors before killing himself. Motive is unclear.,29.209684,-99.786168,Republican
2016,Louisiana,Louisiana,0,3,3,Black or African American,Male,Unclear,"Altercation broke out at a gas station in New Orleans, when the shooter shot and injured 3 people. One of the victims returned fire and injured the instigator.",29.951066,-90.071532,Republican
2016,Arizona,Arizona,3,5,8,Unknown,Male,Unclear,"Altercation broke out at a house party. A group of five hispanics were asked to leave. They got in a car, and as they drove away, opened fire on the house.",33.538652,-112.18599,Republican
2016,Virginia,Virginia,2,2,3,Unknown,Male,Unclear,"42-year-old husband murders wife, shoots two young family members, then shoots himself in the head.",38.044556,-77.286488,Republican
2016,"Chesapeake, Virginia",Virginia,6,0,5,White American,Male,Yes,"A Virginia man shot his brother dead in their family home, then killed four other relatives in a nearby house before turning the gun on himself Wednesday. He killed his brother in their house around 3:35 p.m. He then went to the house belonging to his grandmother and murdered more relatives ? father, mother, sister, and an unidentified female.",36.7921,-76.3293,Republican
2016,Virginia,Virginia,6,0,5,White American,Male,Unclear,"26-year-old killed his Mother, Father, Grandmother, brother, and sister before killing himself in the home of his Grandmother.",36.768209,-76.287493,Republican
2016,California,California,1,4,5,Unknown,Male,Unclear,Very little is known about the case. Cops were called to a Mexican restaurant. 1 person was pronounced dead at the scene. 4 others were taken to a hospital.,33.782519,-117.22865,Democratic
2016,Florida,Florida,3,0,3,White American,Male,Unclear,"A young man shot his mother, step-father, and his ex-girlfriend's boyfriend",30.754181,-86.572799,Republican
2016,California,California,2,2,4,Unknown,Unknown,Unclear,"Group of people was standing outside of a Liquor store on Avalon boulevard in South Los Angeles. A car drove by and fired an AK-47, killing 1 and wounding 3.",34.052234,-118.24369,Democratic
2016,Virginia,Virginia,1,3,4,Black or African American,Male,Unclear,"A young woman threw a house party for her birthday. It got very crowded. The shooter came and shot four people, killing one. There is some disagreement about his relation to the rest of the people at the party",37.40264,-76.458559,Republican
2016,Delaware,Delaware,1,4,5,Black or African American,Male,Unclear,"Two men forcefully entered a house, and started shooting the people inside. One of the robbers was killed. Four other people injured.",39.739072,-75.539788,Democratic
2016,Tennessee,Tennessee,1,3,4,Unknown,Male,Unclear,A woman flagged down a car to help her with her car troubles at the side of the road. An 18-year-old got out to help. The two suspects got out of another car and fired on the scene.,35.149534,-90.04898,Republican
2016,Florida,Florida,3,1,4,Black or African American,Male,Unclear,Two men arrived at the house of a drug dealer and killed three people and critically injured one more.,28.039465,-81.949804,Republican
2015,"Omaha, Nebraska",Nebraska,2,3,5,Black or African American,Male,Unclear,A woman and her two year old daughter were shot and killed Sunday. Three other women are still fighting for their lives following the shooting. The suspect turned himself into police on Tuesday morning.,41.3138,-96.0814,Republican
2015,"San Bernardino, California",California,14,21,35,Other,Female,Unclear,"Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.",34.108345,-117.289764,Democratic
